      DC Relation Cnt	                                  Comparison	                       Comparison.Concession	                         Comparison.Contrast	                                 Contingency	                    Contingency.Cause.Reason	                    Contingency.Cause.Result	                       Contingency.Condition	                                   Expansion	                       Expansion.Alternative	    Expansion.Alternative.Chosen alternative	                       Expansion.Conjunction	                         Expansion.Exception	                     Expansion.Instantiation	                       Expansion.Restatement	                                    Temporal	                       Temporal.Asynchronous	            Temporal.Asynchronous.Precedence	            Temporal.Asynchronous.Succession	                          Temporal.Synchrony	
          accordingly	                                        null	                                        null	                                        null	                                        null	                                        null	                                           2	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
         additionally	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           6	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
                after	                                        null	                                           1	                                        null	                                        null	                                          36	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                         427	                                        null	
            afterward	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           6	                                        null	                                        null	
           afterwards	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           4	                                        null	                                        null	
                 also	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        1336	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                           2	
        alternatively	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           5	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
             although	                                          14	                                         130	                                         107	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
                  and	                                        null	                                           1	                                          21	                                        null	                                        null	                                         135	                                           3	                                           1	                                        null	                                        null	                                        2160	                                        null	                                           1	                                           2	                                        null	                                        null	                                          25	                                        null	                                           3	
                   as	                                           2	                                           2	                                           1	                                           1	                                         212	                                           2	                                        null	                                           1	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                          15	                                         396	
