file	All Parser precision	All Parser recall	All Parser f1	All Explicit connective precision	All Explicit connective recall	All Explicit connective f1	All Arg1 extraction precision	All Arg1 extraction recall	All Arg1 extraction f1	All Arg2 extraction precision	All Arg2 extraction recall	All Arg2 extraction f1	All Arg 1 Arg2 extraction precision	All Arg 1 Arg2 extraction recall	All Arg 1 Arg2 extraction f1	Explicit only Parser precision	Explicit only Parser recall	Explicit only Parser f1	Explicit only Explicit connective precision	Explicit only Explicit connective recall	Explicit only Explicit connective f1	Explicit only Arg1 extraction precision	Explicit only Arg1 extraction recall	Explicit only Arg1 extraction f1	Explicit only Arg2 extraction precision	Explicit only Arg2 extraction recall	Explicit only Arg2 extraction f1	Explicit only Arg 1 Arg2 extraction precision	Explicit only Arg 1 Arg2 extraction recall	Explicit only Arg 1 Arg2 extraction f1	Non-explicit only Parser precision	Non-explicit only Parser recall	Non-explicit only Parser f1	Non-explicit only Explicit connective precision	Non-explicit only Explicit connective recall	Non-explicit only Explicit connective f1	Non-explicit only Arg1 extraction precision	Non-explicit only Arg1 extraction recall	Non-explicit only Arg1 extraction f1	Non-explicit only Arg2 extraction precision	Non-explicit only Arg2 extraction recall	Non-explicit only Arg2 extraction f1	Non-explicit only Arg 1 Arg2 extraction precision	Non-explicit only Arg 1 Arg2 extraction recall	Non-explicit only Arg 1 Arg2 extraction f1	All (partial match) Parser precision	All (partial match) Parser recall	All (partial match) Parser f1	All (partial match) Arg1 extraction precision	All (partial match) Arg1 extraction recall	All (partial match) Arg1 extraction f1	All (partial match) Arg2 extraction precision	All (partial match) Arg2 extraction recall	All (partial match) Arg2 extraction f1	All (partial match) Arg 1 Arg2 extraction precision	All (partial match) Arg 1 Arg2 extraction recall	All (partial match) Arg 1 Arg2 extraction f1	Explicit only (partial match) Parser precision	Explicit only (partial match) Parser recall	Explicit only (partial match) Parser f1	Explicit only (partial match) Arg1 extraction precision	Explicit only (partial match) Arg1 extraction recall	Explicit only (partial match) Arg1 extraction f1	Explicit only (partial match) Arg2 extraction precision	Explicit only (partial match) Arg2 extraction recall	Explicit only (partial match) Arg2 extraction f1	Explicit only (partial match) Arg 1 Arg2 extraction precision	Explicit only (partial match) Arg 1 Arg2 extraction recall	Explicit only (partial match) Arg 1 Arg2 extraction f1	Non-explicit only (partial match) Parser precision	Non-explicit only (partial match) Parser recall	Non-explicit only (partial match) Parser f1	Non-explicit only (partial match) Arg1 extraction precision	Non-explicit only (partial match) Arg1 extraction recall	Non-explicit only (partial match) Arg1 extraction f1	Non-explicit only (partial match) Arg2 extraction precision	Non-explicit only (partial match) Arg2 extraction recall	Non-explicit only (partial match) Arg2 extraction f1	Non-explicit only (partial match) Arg 1 Arg2 extraction precision	Non-explicit only (partial match) Arg 1 Arg2 extraction recall	Non-explicit only (partial match) Arg 1 Arg2 extraction f1
full en blind/shallow-discourse-parsing-clac-run-2016-05-04-03-56-08.zip	0.2111	0.2101	0.2106	0.9191	0.8856	0.902	0.5261	0.5282	0.5271	0.6543	0.657	0.6556	0.3904	0.392	0.3912	0.3056	0.3165	0.311	0.9191	0.8856	0.902	0.4928	0.4749	0.4837	0.7194	0.6932	0.7061	0.4065	0.3917	0.3989	0.1244	0.1194	0.1219	1.0	1.0	1.0	0.5299	0.5518	0.5406	0.5972	0.622	0.6094	0.3767	0.3923	0.3844	0.3729	0.3714	0.3722	0.809	0.7787	0.7936	0.8405	0.8371	0.8388	0.7755	0.7719	0.7737	0.5147	0.5342	0.5243	0.674	0.6768	0.6754	0.7695	0.7986	0.7838	0.6386	0.6667	0.6523	0.2408	0.2312	0.2359	0.8405	0.807	0.8234	0.8884	0.853	0.8703	0.8678	0.8287	0.8478
full en blind/shallow-discourse-parsing-devanshu-run-2016-05-07-09-52-07.zip	0.1269	0.0918	0.1065	0.777	0.9371	0.8496	0.2349	0.3242	0.2724	0.3259	0.4498	0.3779	0.1489	0.2055	0.1727	0.2283	0.1888	0.2067	0.777	0.9371	0.8496	0.3399	0.41	0.3717	0.4676	0.564	0.5113	0.2608	0.3145	0.2852	0.0145	0.0092	0.0112	1.0	1.0	1.0	0.1409	0.2217	0.1723	0.2052	0.3229	0.2509	0.0536	0.0843	0.0655	0.3813	0.2763	0.3204	0.761	0.5421	0.6332	0.8276	0.5997	0.6954	0.7712	0.5325	0.63	0.5271	0.4371	0.4779	0.6986	0.5626	0.6233	0.8069	0.6691	0.7316	0.7051	0.567	0.6286	0.2193	0.1394	0.1704	0.7735	0.4916	0.6011	0.8145	0.5176	0.633	0.8118	0.4865	0.6084
full en blind/shallow-discourse-parsing-ecnucs-run-2016-05-03-09-36-10.zip	0.2569	0.263	0.2599	0.9011	0.9261	0.9134	0.5798	0.5649	0.5722	0.761	0.7413	0.751	0.4806	0.4682	0.4743	0.3444	0.3345	0.3394	0.9011	0.9261	0.9134	0.5036	0.5176	0.5105	0.732	0.7523	0.742	0.4227	0.4344	0.4284	0.1891	0.2021	0.1954	1.0	1.0	1.0	0.6325	0.59	0.6105	0.7856	0.7329	0.7583	0.5299	0.4943	0.5115	0.4013	0.4119	0.4065	0.7931	0.7816	0.7873	0.8219	0.8437	0.8327	0.7757	0.7994	0.7874	0.5804	0.5647	0.5725	0.7249	0.6803	0.7019	0.8078	0.786	0.7967	0.7284	0.7056	0.7169	0.26	0.2787	0.269	0.7686	0.8239	0.7953	0.8129	0.8714	0.8411	0.7958	0.8614	0.8273
full en blind/shallow-discourse-parsing-goethe-run-2016-05-07-00-55-21.zip	0.2429	0.2465	0.2447	0.8687	0.92	0.8936	0.5658	0.557	0.5613	0.7411	0.7296	0.7353	0.4673	0.4601	0.4637	0.3168	0.2986	0.3074	0.8687	0.92	0.8936	0.4748	0.5029	0.4884	0.6996	0.741	0.7197	0.3993	0.4229	0.4107	0.1895	0.2037	0.1963	1.0	1.0	1.0	0.6309	0.5861	0.6077	0.7749	0.7198	0.7463	0.5237	0.4865	0.5044	0.3966	0.4028	0.3997	0.7871	0.7732	0.7801	0.82	0.8329	0.8264	0.7664	0.7802	0.7732	0.5562	0.5252	0.5402	0.7168	0.6489	0.6812	0.8057	0.7608	0.7826	0.7047	0.659	0.6811	0.2731	0.294	0.2832	0.7696	0.8285	0.7979	0.8137	0.876	0.8437	0.7895	0.8579	0.8223
full en blind/shallow-discourse-parsing-iitbhu-run-2016-05-09-03-34-52.zip	0.046	0.0687	0.0551	0.8687	0.913	0.8903	0.4309	0.2888	0.3458	0.4467	0.2993	0.3584	0.2498	0.1674	0.2005	0.0814	0.0773	0.0793	0.8687	0.913	0.8903	0.2824	0.2968	0.2894	0.2518	0.2647	0.2581	0.0881	0.0926	0.0903	0.0314	0.0613	0.0415	1.0	1.0	1.0	0.5467	0.28	0.3703	0.6126	0.3137	0.4149	0.3874	0.1984	0.2624	0.2045	0.3052	0.2449	0.5633	0.7683	0.6501	0.5233	0.7808	0.6266	0.4582	0.7162	0.5589	0.4839	0.4604	0.4719	0.6516	0.6	0.6248	0.6635	0.6313	0.647	0.5614	0.53	0.5453	0.0871	0.17	0.1151	0.429	0.8377	0.5674	0.4565	0.8913	0.6037	0.412	0.8562	0.5563
full en blind/shallow-discourse-parsing-li16b-run-2016-04-30-12-28-25.zip	0.3036	0.2026	0.2431	0.9047	0.928	0.9162	0.3755	0.5619	0.4502	0.483	0.7228	0.5791	0.3019	0.4517	0.3619	0.3161	0.3076	0.3118	0.9047	0.928	0.9162	0.4658	0.4779	0.4718	0.6799	0.6974	0.6885	0.3777	0.3875	0.3825	0.2782	0.1133	0.161	1.0	1.0	1.0	0.2971	0.7293	0.4222	0.3155	0.7744	0.4483	0.2374	0.5827	0.3373	0.4901	0.3275	0.3927	0.786	0.5106	0.6191	0.854	0.5707	0.6842	0.7593	0.4832	0.5906	0.5517	0.5378	0.5446	0.7238	0.6715	0.6967	0.8081	0.7878	0.7978	0.6838	0.6639	0.6737	0.3647	0.1485	0.2111	0.8534	0.3476	0.494	0.9098	0.3706	0.5267	0.9021	0.3408	0.4947
full en blind/shallow-discourse-parsing-nguyenlab-run-2016-05-04-16-37-41.zip	0.2031	0.2043	0.2037	0.795	0.9151	0.8508	0.4847	0.4815	0.4831	0.617	0.613	0.615	0.3904	0.3878	0.3891	0.332	0.2878	0.3083	0.795	0.9151	0.8508	0.4874	0.5611	0.5217	0.6547	0.7536	0.7007	0.3867	0.4451	0.4139	0.1185	0.1332	0.1255	1.0	1.0	1.0	0.4564	0.406	0.4297	0.585	0.5204	0.5508	0.3936	0.3501	0.3706	0.3246	0.3267	0.3256	0.6774	0.6505	0.6637	0.7075	0.7122	0.7098	0.6315	0.6363	0.6339	0.5673	0.4928	0.5274	0.7207	0.6177	0.6652	0.8137	0.7068	0.7565	0.733	0.6191	0.6713	0.1621	0.1822	0.1716	0.53	0.5957	0.5609	0.5749	0.6462	0.6085	0.5295	0.6013	0.5631
full en blind/shallow-discourse-parsing-nikko-run-2016-05-07-23-21-47.zip	0.0735	0.1034	0.0859	0.6727	0.8738	0.7602	0.3011	0.214	0.2502	0.3118	0.2216	0.2591	0.1745	0.124	0.145	0.2407	0.1853	0.2093	0.6727	0.8738	0.7602	0.3112	0.4042	0.3516	0.4281	0.5561	0.4837	0.2356	0.3061	0.2663	0.0173	0.0337	0.0228	1.0	1.0	1.0	0.2603	0.1335	0.1765	0.2129	0.1092	0.1443	0.1225	0.0628	0.0831	0.1534	0.2159	0.1794	0.3422	0.4401	0.3851	0.3175	0.4467	0.3711	0.2509	0.361	0.2961	0.4673	0.3597	0.4065	0.6547	0.4904	0.5608	0.6495	0.5	0.565	0.5882	0.4382	0.5023	0.0393	0.0766	0.0519	0.1752	0.3415	0.2316	0.165	0.3216	0.2181	0.124	0.2476	0.1652
full en blind/shallow-discourse-parsing-oslopots-run-2016-05-11-01-58-41.zip	0.2775	0.2779	0.2777	0.9353	0.9012	0.9179	0.598	0.5965	0.5973	0.7593	0.7574	0.7584	0.483	0.4818	0.4824	0.3385	0.3507	0.3445	0.9353	0.9012	0.9179	0.5342	0.5147	0.5243	0.7662	0.7383	0.752	0.4478	0.4315	0.4395	0.222	0.2159	0.2189	1.0	1.0	1.0	0.6371	0.6551	0.646	0.7534	0.7748	0.764	0.513	0.5276	0.5202	0.4414	0.4425	0.442	0.8355	0.8053	0.8201	0.8597	0.8619	0.8608	0.8041	0.8064	0.8053	0.5563	0.5773	0.5666	0.7203	0.7189	0.7196	0.8024	0.8327	0.8173	0.7022	0.7332	0.7174	0.337	0.3277	0.3323	0.8567	0.8331	0.8447	0.9024	0.8775	0.8898	0.8768	0.8498	0.8631
full en blind/shallow-discourse-parsing-rival2710-run-2016-05-09-11-37-11.zip	0.1262	0.1894	0.1515	0.9856	0.9821	0.9838	0.5252	0.3501	0.4201	0.6675	0.4449	0.5339	0.3615	0.2409	0.2891	0.2527	0.2536	0.2531	0.9856	0.9821	0.9838	0.4137	0.4122	0.4129	0.7356	0.733	0.7343	0.3345	0.3333	0.3339	0.077	0.147	0.1011	1.0	1.0	1.0	0.5452	0.2834	0.373	0.6095	0.3169	0.417	0.3844	0.1998	0.263	0.226	0.3391	0.2713	0.6049	0.8163	0.6948	0.5843	0.8768	0.7013	0.513	0.808	0.6275	0.4516	0.4532	0.4524	0.6529	0.6206	0.6364	0.8495	0.8525	0.851	0.5959	0.5984	0.5971	0.1162	0.2236	0.153	0.4347	0.8361	0.572	0.4618	0.8882	0.6076	0.4169	0.8527	0.56
